date-time,pos,price,ts,PnL
29-05-2022 05:45:03,el,29120.1,1653788703,0
30-05-2022 05:37:46,xl,29645.32,1653874666,1.8
30-05-2022 05:45:12,el,29695.85,1653875112,0
30-05-2022 10:08:16,xl,30541.93,1653890896,2.85
30-05-2022 16:23:31,el,30685.95,1653913411,0
31-05-2022 00:24:54,xl,31172.77,1653942294,1.59
31-05-2022 00:25:05,el,31370.23,1653942305,0
31-05-2022 01:17:36,xl,31000.0,1653945456,-1.18
31-05-2022 01:18:07,el,31588.17,1653945487,0
31-05-2022 20:43:26,xl,32335.16,1654015406,2.36
31-05-2022 20:50:31,el,32216.56,1654015831,0
01-06-2022 20:04:41,es,30641.0,1654099481,-4.89
01-06-2022 21:22:57,xs,29918.71,1654104177,2.41
01-06-2022 21:24:44,es,29988.02,1654104284,0
02-06-2022 00:28:36,xs,29672.49,1654115316,1.06
02-06-2022 17:15:21,es,29702.42,1654175721,0
03-06-2022 18:45:51,xs,29336.58,1654267551,1.25
04-06-2022 16:22:28,es,29594.68,1654345348,0
05-06-2022 19:45:01,el,29885.62,1654443901,-0.97
06-06-2022 05:30:01,xl,30593.44,1654479001,2.37
06-06-2022 05:30:02,el,30604.7,1654479002,0
06-06-2022 06:15:01,xl,30985.08,1654481701,1.24
06-06-2022 07:00:02,el,30928.11,1654484402,0
06-06-2022 13:45:01,xl,31413.65,1654508701,1.57
06-06-2022 19:00:01,el,31507.65,1654527601,0
10-06-2022 00:15:01,es,30133.14,1654805701,-4.36
10-06-2022 04:45:01,xs,29825.25,1654821901,1.03
10-06-2022 13:45:01,es,29995.99,1654854301,0
10-06-2022 17:30:06,xs,29444.22,1654867806,1.87
10-06-2022 18:15:01,es,29350.01,1654870501,0
10-06-2022 20:30:05,xs,28938.34,1654878605,1.42
10-06-2022 21:15:01,es,28950.66,1654881301,0
11-06-2022 17:30:01,xs,28675.81,1654954201,0.96
11-06-2022 19:45:01,es,28309.52,1654962301,0
11-06-2022 19:45:01,xs,28302.66,1654962301,0.02
11-06-2022 20:30:01,es,28316.74,1654965001,0
12-06-2022 07:00:03,xs,27375.05,1655002803,3.44
12-06-2022 07:45:02,es,27626.39,1655005502,0
12-06-2022 19:00:01,xs,27827.8,1655046001,-0.72
13-06-2022 00:15:01,es,27463.18,1655064901,0
13-06-2022 04:00:04,xs,26569.25,1655078404,3.36
13-06-2022 04:45:01,es,26587.43,1655081101,0
13-06-2022 04:45:01,xs,26581.77,1655081101,0.02
13-06-2022 05:30:01,es,26019.91,1655083801,0
13-06-2022 06:15:01,xs,25650.1,1655086501,1.44
13-06-2022 07:00:01,es,25344.49,1655089201,0
13-06-2022 07:45:01,xs,25484.73,1655091901,-0.55
13-06-2022 07:45:01,es,25484.73,1655091901,0
13-06-2022 12:15:00,xs,24819.94,1655108100,2.68
13-06-2022 12:15:01,es,24817.01,1655108101,0
13-06-2022 13:00:03,xs,24186.51,1655110803,2.61
13-06-2022 13:00:04,es,24172.52,1655110804,0
13-06-2022 13:45:01,xs,23920.27,1655113501,1.05
13-06-2022 13:45:01,es,23914.29,1655113501,0
13-06-2022 16:00:03,xs,23733.82,1655121603,0.76
13-06-2022 16:00:05,es,23763.97,1655121605,0
13-06-2022 17:30:08,xs,23413.18,1655127008,1.5
13-06-2022 19:00:01,es,22818.24,1655132401,0
13-06-2022 19:00:01,xs,22822.81,1655132401,-0.02
14-06-2022 04:00:02,es,22474.2,1655164802,0
14-06-2022 04:00:03,xs,22479.75,1655164803,-0.02
14-06-2022 05:30:01,es,21169.0,1655170201,0
14-06-2022 05:30:02,xs,21164.04,1655170202,0.02
14-06-2022 06:15:01,es,21315.66,1655172901,0
15-06-2022 10:00:01,xs,21221.17,1655272801,0.45
15-06-2022 12:15:01,es,20334.96,1655280901,0
15-06-2022 12:15:01,xs,20334.96,1655280901,0.0
15-06-2022 13:00:02,es,20259.59,1655283602,0
18-06-2022 11:30:01,xs,19245.56,1655537401,5.27
18-06-2022 12:15:00,es,19141.24,1655540100,0
18-06-2022 13:00:01,xs,19001.89,1655542801,0.73
18-06-2022 13:00:03,es,18989.0,1655542803,0
18-06-2022 22:00:01,xs,18618.94,1655575201,1.99
18-06-2022 22:45:00,es,18381.01,1655577900,0
18-06-2022 22:45:00,xs,18381.01,1655577900,0.0
18-06-2022 23:30:01,es,18238.54,1655580601,0
19-06-2022 00:15:02,xs,17919.48,1655583302,1.78
19-06-2022 01:00:03,es,17793.28,1655586003,0
21-06-2022 10:00:04,el,20905.51,1655791204,-14.89
21-06-2022 10:45:01,xl,21143.28,1655793901,1.14
21-06-2022 18:15:01,el,21499.99,1655820901,0
21-06-2022 18:15:02,xl,21500.0,1655820902,0.0
22-06-2022 19:00:01,el,20693.98,1655910001,0
26-06-2022 16:45:01,xl,21633.89,1656247501,4.54
27-06-2022 13:00:03,el,21494.2,1656320403,0
27-06-2022 18:15:02,es,20711.72,1656339302,-3.64
